model,error_type,statistic,value
FNO,signed,mean,-1.6846255273433818e-10
FNO,signed,std,3.3380853816470585e-08
FNO,signed,min,-8.318820619024336e-07
FNO,signed,q01,-1.116879744245125e-07
FNO,signed,q05,-4.5321699104761135e-08
FNO,signed,q25,-6.190674639583449e-09
FNO,signed,q50,3.2085268296400127e-10
FNO,signed,q75,6.824819820394623e-09
FNO,signed,q95,4.263313257979462e-08
FNO,signed,q99,1.0389188759063467e-07
FNO,signed,max,6.505059673145297e-07
FNO,absolute,mean,1.6832149578969985e-08
FNO,absolute,std,2.8826871521194152e-08
FNO,absolute,min,0.0
FNO,absolute,q01,4.700950739788823e-11
FNO,absolute,q05,2.4283508537337184e-10
FNO,absolute,q25,1.898797563626431e-09
FNO,absolute,q50,6.534150998049881e-09
FNO,absolute,q75,1.887894995888928e-08
FNO,absolute,q95,6.87867355964044e-08
FNO,absolute,q99,1.3938443032657223e-07
FNO,absolute,max,8.318820619024336e-07
UNET,signed,mean,7.55383202278616e-09
UNET,signed,std,7.784201965736834e-08
UNET,signed,min,-1.180453409688198e-06
UNET,signed,q01,-2.261106146761449e-07
UNET,signed,q05,-1.0883571235353883e-07
UNET,signed,q25,-1.6843024752688507e-08
UNET,signed,q50,1.6183037132577738e-09
UNET,signed,q75,3.1455101634492166e-08
UNET,signed,q95,1.3733256309933495e-07
UNET,signed,q99,2.590413964753678e-07
UNET,signed,max,9.498560302745318e-07
UNET,absolute,mean,4.741818870970508e-08
UNET,absolute,std,6.219289173255555e-08
UNET,absolute,min,0.0
UNET,absolute,q01,1.6905232769204304e-10
UNET,absolute,q05,8.627694253471319e-10
UNET,absolute,q25,6.4479195316380356e-09
UNET,absolute,q50,2.4237529316906148e-08
UNET,absolute,q75,6.302759913978662e-08
UNET,absolute,q95,1.784239984203848e-07
UNET,absolute,q99,2.896761560577942e-07
UNET,absolute,max,1.180453409688198e-06
