error_type,statistic,fno,unet,delta_fno_minus_unet
signed,mean,-1.6846255273433818e-10,7.55383202278616e-09,-7.722294575520497e-09
signed,std,3.3380853816470585e-08,7.784201965736834e-08,-4.4461165840897755e-08
signed,min,-8.318820619024336e-07,-1.180453409688198e-06,3.485713477857644e-07
signed,q01,-1.116879744245125e-07,-2.261106146761449e-07,1.144226402516324e-07
signed,q05,-4.5321699104761135e-08,-1.0883571235353883e-07,6.35140132487777e-08
signed,q25,-6.190674639583449e-09,-1.6843024752688507e-08,1.0652350113105058e-08
signed,q50,3.2085268296400127e-10,1.6183037132577738e-09,-1.2974510302937725e-09
signed,q75,6.824819820394623e-09,3.1455101634492166e-08,-2.4630281814097543e-08
signed,q95,4.263313257979462e-08,1.3733256309933495e-07,-9.469943051954033e-08
signed,q99,1.0389188759063467e-07,2.590413964753678e-07,-1.5514950888473314e-07
signed,max,6.505059673145297e-07,9.498560302745318e-07,-2.993500629600021e-07
absolute,mean,1.6832149578969985e-08,4.741818870970508e-08,-3.058603913073509e-08
absolute,std,2.8826871521194152e-08,6.219289173255555e-08,-3.3366020211361404e-08
absolute,min,0.0,0.0,0.0
absolute,q01,4.700950739788823e-11,1.6905232769204304e-10,-1.220428202941548e-10
absolute,q05,2.4283508537337184e-10,8.627694253471319e-10,-6.1993433997376e-10
absolute,q25,1.898797563626431e-09,6.4479195316380356e-09,-4.549121968011605e-09
absolute,q50,6.534150998049881e-09,2.4237529316906148e-08,-1.7703378318856267e-08
absolute,q75,1.887894995888928e-08,6.302759913978662e-08,-4.414864918089734e-08
absolute,q95,6.87867355964044e-08,1.784239984203848e-07,-1.096372628239804e-07
absolute,q99,1.3938443032657223e-07,2.896761560577942e-07,-1.5029172573122196e-07
absolute,max,8.318820619024336e-07,1.180453409688198e-06,-3.485713477857644e-07
