model,sample_pos,test_index,mse,rmse,mae,bias_mean,max_abs_error,relative_l2
FNO,0,93,5.470776864301491e-16,2.3389691884036204e-08,1.4676422493671796e-08,-1.1065068682839639e-08,1.3427043654701265e-07,0.06512821544404336
FNO,1,2687,2.5218426807011343e-16,1.5880310704457688e-08,1.1111695657409631e-08,-7.509040335709254e-09,8.474648893752601e-08,0.01946954486631049
FNO,2,2381,1.818759886031418e-15,4.264692117880748e-08,2.979505816757826e-08,-1.731168280211964e-08,1.9830963537970092e-07,0.04522439011791391
FNO,3,2163,1.3291299280661219e-14,1.1528789737288654e-07,5.800184418286763e-08,4.952192115738585e-08,6.505059673145297e-07,0.16886759918603428
FNO,4,1776,7.104168750191403e-15,8.428623108308619e-08,5.9072103399385316e-08,-3.282712566497826e-08,3.668529870992643e-07,0.10196995323807852
FNO,5,2516,1.8426962159825133e-16,1.3574594712117608e-08,8.932553173819023e-09,-2.3873198781075785e-09,7.222982389976096e-08,0.03431117732017197
FNO,6,2589,6.846967714377519e-16,2.6166711131469158e-08,1.7611755827685696e-08,3.4582448471108373e-09,1.285445421217446e-07,0.0574679739367955
FNO,7,535,3.7893320518921395e-16,1.946620674885618e-08,1.3628610404704327e-08,-2.7679861986062347e-09,1.1156544132973067e-07,0.03130821445060502
FNO,8,900,1.2911616634960964e-15,3.593273804618981e-08,2.4681864239730916e-08,-1.747942905081945e-08,2.6469029990039417e-07,0.0727762062070266
FNO,9,2273,2.682605932242559e-16,1.637866274224657e-08,1.0750833189560593e-08,-3.059203534622513e-10,8.716529009689111e-08,0.014830268901388667
FNO,10,1272,8.697348418508341e-16,2.949126721337749e-08,2.1240729804671845e-08,-1.558781619275618e-08,1.8536559309723089e-07,0.034688929287477646
FNO,11,527,1.48758374942333e-16,1.219665425197964e-08,9.100032654897854e-09,-5.6300532738146765e-09,6.343566383293364e-08,0.01305170154918995
FNO,12,680,1.5739438342240606e-17,3.967296099642753e-09,2.613273244846479e-09,-1.937888979554454e-09,2.4739449600019725e-08,0.010047810915212993
FNO,13,471,3.051192020039293e-15,5.523759607404447e-08,4.0513318373769106e-08,3.460833954014685e-08,3.265762416049256e-07,0.0892111333313049
FNO,14,2110,6.410311639730629e-18,2.5318593246329127e-09,1.6174883081448224e-09,4.519244755419158e-10,2.4348537408513948e-08,0.005577709970044654
FNO,15,844,1.6949434745129503e-17,4.116969121226136e-09,2.7717556422514268e-09,2.6122511907184076e-10,2.7111582312500104e-08,0.011501721243607573
FNO,16,1929,3.2379722653518478e-15,5.690318326202716e-08,3.5083741968331134e-08,1.1269181546147703e-08,4.934874198170291e-07,0.09851060099905724
FNO,17,1025,3.015892241436517e-17,5.4917139778365345e-09,4.285948562136352e-09,3.1359749744687935e-09,3.0883711588103324e-08,0.010593118302959574
FNO,18,2793,3.2297949817580576e-16,1.7971630370553636e-08,1.2320574115659012e-08,3.3326031863588827e-09,1.2670898286160082e-07,0.016116710879407345
FNO,19,2212,9.14067594265829e-16,3.0233550804790183e-08,2.1556063152688093e-08,-1.2162268426144624e-08,1.5655928109481465e-07,0.03389189401506186
FNO,20,63,1.1586422801167092e-15,3.4038834881892024e-08,2.480475047757376e-08,1.9981881401271074e-08,1.347347051705583e-07,0.042338902543222326
FNO,21,479,4.9294998275346576e-15,7.021039686210766e-08,4.571686733383705e-08,1.3137445734411139e-08,3.0790999971941346e-07,0.059694905757703705
FNO,22,1767,2.060043428572579e-17,4.538770129200838e-09,2.803351609697354e-09,2.245692237483532e-10,3.692360905915848e-08,0.011053109885788087
FNO,23,811,1.3413942810527826e-16,1.1581857713910936e-08,8.364673607214923e-09,-3.8673862416987124e-10,8.848189736454515e-08,0.014446911560708287
FNO,24,2848,1.6498956049768663e-17,4.061890698894871e-09,2.783192681164904e-09,-1.162780762770964e-09,2.9594332318083616e-08,0.011804936034952295
FNO,25,1295,5.45688531187468e-16,2.3359977123008234e-08,1.0320989772110941e-08,7.626515825661206e-09,2.7368614041733963e-07,0.060639861333883494
FNO,26,322,1.9328016183026317e-17,4.3963639729924905e-09,3.1075266801168686e-09,-1.8031855672581167e-09,3.972365902882302e-08,0.011373931377882635
FNO,27,1915,3.839197143063583e-15,6.1961255176631e-08,4.606084929732151e-08,-3.039307376023421e-08,2.683422053451068e-07,0.06551417511714948
FNO,28,1241,7.646806585853845e-16,2.7652859862686617e-08,1.955956197847709e-08,-1.6402984976764877e-08,1.9819526642095298e-07,0.06827603483079889
FNO,29,605,4.0412221650770917e-16,2.0102791261606163e-08,1.0310929430128849e-08,3.393722483259287e-10,2.498309186194092e-07,0.05754650964733827
FNO,30,1010,5.443069829712074e-17,7.377716333468016e-09,5.443054278519349e-09,-2.9094900767350743e-11,2.994914893861278e-08,0.015441387748524228
FNO,31,1351,8.767069109871901e-16,2.96092369200422e-08,1.9147963135398308e-08,1.273635469712557e-08,1.8012508462561527e-07,0.03181738664221629
FNO,32,102,3.8251704869572606e-16,1.955804306917556e-08,1.4859367004500282e-08,1.154327611734186e-08,1.1250011766605894e-07,0.035831646527010604
FNO,33,1798,6.227220790807725e-17,7.891274162521364e-09,5.493463347153846e-09,-2.3567466051171034e-09,5.141367864780477e-08,0.01629616214203944
FNO,34,1068,3.1193067136332058e-15,5.585075392179774e-08,3.220338744707069e-08,1.799763792774898e-08,3.8860792983541614e-07,0.1005704322822672
FNO,35,2804,9.0989757749963e-17,9.538855159292598e-09,7.167279723473185e-09,4.5284210532183566e-09,4.079197424289305e-08,0.024033888753902406
FNO,36,1789,1.4353370104461043e-15,3.788584182047568e-08,2.3335477927063922e-08,1.2197870497710562e-08,1.757654786160856e-07,0.06908906813180037
FNO,37,1825,2.26479681848389e-15,4.7589881471631025e-08,3.0779173714279604e-08,-1.6265135303004756e-08,4.901751253783004e-07,0.07712283431276123
FNO,38,718,1.178133235386091e-14,1.085418460956921e-07,7.118771014024495e-08,5.038207824918459e-08,6.264262140120991e-07,0.13753434546749996
FNO,39,1344,1.1364975901795142e-15,3.371197992078653e-08,2.2223178063085036e-08,1.3430064797905293e-08,2.2638107566308463e-07,0.03205173783341684
FNO,40,1977,7.850364783932348e-17,8.860228430425678e-09,6.62574719723004e-09,-2.5472079353577067e-09,4.454807367437752e-08,0.016212877763816937
FNO,41,144,8.716385406313333e-16,2.952352520671157e-08,2.0009298993970313e-08,-1.015247513491548e-08,1.9996949163214595e-07,0.06021695096756525
FNO,42,2346,1.245289815719719e-16,1.1159255421934383e-08,7.844440427921436e-09,-4.393426831093134e-09,8.11453446658561e-08,0.0120797447156651
FNO,43,291,3.2880058349682696e-16,1.813285922012375e-08,1.3595722272659686e-08,9.382827078183794e-09,6.952546982574859e-08,0.029805453423927226
FNO,44,2058,1.3609918775530759e-17,3.689162340631103e-09,2.557542742738788e-09,7.487193013112397e-10,2.7380337996874005e-08,0.007800509463525897
FNO,45,2398,1.9491559625791713e-17,4.4149246455394585e-09,2.9717520712996005e-09,4.1443631368392286e-10,3.568550255295122e-08,0.008612072341475296
FNO,46,1497,5.192771245747984e-16,2.2787652897453007e-08,1.6342730813849978e-08,-1.0202029638225345e-08,1.0884662060561823e-07,0.01946579828814184
FNO,47,2319,3.890607643373568e-17,6.237473561766469e-09,4.080244384262319e-09,2.2529312483443996e-09,4.158141564403195e-08,0.01807446925484118
FNO,48,2605,7.330590486382477e-17,8.561886758409315e-09,5.5673121849493484e-09,1.382888879615379e-09,4.5925574454486195e-08,0.02662572737451792
FNO,49,1278,8.447493774891254e-17,9.19102484758433e-09,6.239273741144499e-09,-4.409679398966246e-09,7.909386567916954e-08,0.018201518279271602
FNO,50,2921,1.7058762109651065e-16,1.3060919611440485e-08,9.231559996372123e-09,9.299283887200236e-10,8.858864930516575e-08,0.022473162124839487
FNO,51,2766,3.1704299079997534e-16,1.7805701075778378e-08,1.3896738557597145e-08,-1.0283220793698655e-08,8.559140951547306e-08,0.017597161846527543
FNO,52,2579,1.7296396008234838e-16,1.3151576334506385e-08,8.89630983425716e-09,2.0757285234748582e-09,6.810213903918338e-08,0.02656355248533396
FNO,53,1730,2.535501686007519e-15,5.035376536077038e-08,3.401148017993649e-08,-2.604840302167054e-08,3.1314414172811667e-07,0.05145057043934811
FNO,54,486,1.007238792033767e-15,3.173702557004621e-08,2.2197931435558747e-08,-1.1034945377266124e-08,2.6424913812661543e-07,0.040676461699427964
FNO,55,511,2.1387015752123886e-16,1.4624300240395738e-08,8.249833757621558e-09,2.122586111512756e-09,1.2685941896961594e-07,0.04325078733605265
FNO,56,2121,2.7482764492917247e-16,1.657792643635423e-08,1.1131609029676988e-08,-1.483680660873055e-09,9.381261634189286e-08,0.03718757824065261
FNO,57,52,1.790588823079871e-17,4.231534973363532e-09,2.7694773337010415e-09,-2.1086046257673517e-10,3.705184781210846e-08,0.008801306994605546
FNO,58,965,3.974019762299537e-16,1.9934943597360733e-08,7.758518435569609e-09,6.7815528465429075e-09,3.0468027034658007e-07,0.05482296413721791
FNO,59,1874,2.7110260656159692e-17,5.206751449431756e-09,3.5078367256218785e-09,1.2167533782826931e-09,3.6281790016801096e-08,0.01354035786030914
FNO,60,929,4.511514566733408e-17,6.71678090064981e-09,4.786802862734522e-09,3.481901155691031e-09,3.517243385431357e-08,0.012854439258740958
FNO,61,1553,2.3795629177619477e-17,4.878076380871817e-09,3.578120263503791e-09,-1.2507494480596867e-09,2.994835313074873e-08,0.013189185754756496
FNO,62,2412,1.5022559632437e-17,3.87589468799618e-09,2.5218227015288034e-09,2.6528589568843806e-10,2.5652639124018606e-08,0.007067329171114244
FNO,63,45,2.2984092314687962e-15,4.7941727456035586e-08,2.7568107632305764e-08,8.204205416083493e-09,3.8633925214526244e-07,0.07916635465752413
FNO,64,1381,1.7435690807282817e-16,1.3204427593531958e-08,9.347384914097189e-09,-3.170751073939596e-09,8.576151344641403e-08,0.02305367772469509
FNO,65,532,4.340685659219787e-17,6.588388011660961e-09,4.27997374267402e-09,-5.794384429158291e-10,6.832715371274389e-08,0.020243741296367808
FNO,66,1097,3.2171512911631016e-15,5.671993733391374e-08,3.1518361344339034e-08,2.5207578394713033e-08,3.507356041154708e-07,0.09004511822558517
FNO,67,2603,5.055057032543768e-16,2.2483453988530697e-08,1.668575758763722e-08,8.001013929870954e-09,1.0788841109388159e-07,0.020018066856804163
FNO,68,651,2.1041050743010238e-15,4.587052511472943e-08,3.34167448097973e-08,4.3370189773815416e-09,1.8986531813425245e-07,0.03355974180903299
FNO,69,2541,9.76024106138779e-17,9.879393231058165e-09,6.395756736436325e-09,2.404911304580141e-09,7.944987601149478e-08,0.024103152482892964
FNO,70,2431,2.497319721413405e-17,4.99731900263872e-09,3.462642878484229e-09,5.54404592410969e-10,5.202855390962213e-08,0.00501835324242973
FNO,71,1188,1.6839375857286333e-16,1.2976662073617519e-08,8.686351600139157e-09,9.952979722766636e-10,8.110258420401806e-08,0.03589526579903222
FNO,72,1711,1.2792755494215683e-16,1.131050639636249e-08,7.595356137673894e-09,-2.3774030202665274e-09,6.901063898112625e-08,0.03145321486220075
FNO,73,0,2.976152580094763e-16,1.7251529149889187e-08,1.1818060100843982e-08,1.519451882666104e-09,1.0607539024931611e-07,0.016217452690074376
FNO,74,598,5.758814367529614e-16,2.3997529805231232e-08,1.711891338435362e-08,-1.3852934002323723e-08,1.34375454763358e-07,0.05156250014287769
FNO,75,289,4.9699740093731984e-18,2.229343851758449e-09,1.427607652634135e-09,-6.627951479823402e-10,2.6480392989469692e-08,0.006397109252868145
FNO,76,1641,5.90445827115771e-15,7.684047287177318e-08,4.890008536011891e-08,3.447287637682032e-08,4.315882051741937e-07,0.11804287731080002
FNO,77,807,1.3680209257377957e-14,1.169624266907025e-07,8.777853093862376e-08,-3.7026750797341406e-08,4.5405226956063416e-07,0.08820528435091969
FNO,78,2457,1.4344171553973225e-16,1.1976715557269124e-08,7.238980237977586e-09,2.999354779696297e-09,9.7084921435453e-08,0.03767295759800979
FNO,79,812,1.1866280541409528e-15,3.444746803672155e-08,2.3815259842844507e-08,1.6684018011932396e-08,3.045621497221873e-07,0.03852193165561307
FNO,80,2549,1.8424259599691186e-16,1.357359922779923e-08,6.776673710945707e-09,3.06334904166772e-09,1.6000586811060202e-07,0.03690137462256952
FNO,81,2459,1.5321019388604409e-16,1.2377810544924498e-08,9.259936176673653e-09,6.724443829376663e-09,8.203005563700572e-08,0.014626184972053154
FNO,82,831,1.4737320299960072e-15,3.8389217626776495e-08,2.3447689429242e-08,2.1149845548289393e-09,3.634590939327609e-07,0.051392881880403425
