model,time,mse,rmse,mae,bias_mean,max_abs_error,relative_l2
FNO,0,1.804765944478794e-17,4.248253693553145e-09,1.94643870903025e-09,9.816052879842868e-10,1.0090491286973702e-07,0.008275475426839436
FNO,1,5.1621999286365134e-17,7.184845112204238e-09,3.442503892838558e-09,-6.533075276137046e-10,1.5344022585850325e-07,0.01476009150000118
FNO,2,1.3376360800690609e-16,1.1565621816699095e-08,5.696846414364909e-09,-3.185346513667956e-10,1.9987567156931618e-07,0.024356963641358934
FNO,3,2.479059322453965e-16,1.5745028810561018e-08,7.926900536223118e-09,-2.3862780741284307e-10,2.7469911856314866e-07,0.03321816096725735
FNO,4,3.7739335589457526e-16,1.942661462773623e-08,9.949057717641384e-09,-2.432307354042649e-10,3.487534740997944e-07,0.040319338257642987
FNO,5,5.130733259437476e-16,2.265112195772535e-08,1.1758994982924295e-08,-4.2987140939019476e-10,4.202735226499499e-07,0.045696417965523914
FNO,6,6.56173605494509e-16,2.561588580343278e-08,1.3443046959313866e-08,-4.624756094875453e-10,4.6902630401746137e-07,0.049948152634521084
FNO,7,8.039054511470516e-16,2.835322646802391e-08,1.506885390826083e-08,-4.869496098208036e-10,5.221778565100976e-07,0.053224015963478956
FNO,8,9.5362421957659e-16,3.0880806653592944e-08,1.6606058014363133e-08,-5.438099475312363e-10,5.75992999074515e-07,0.05541755447978294
FNO,9,1.099244979437556e-15,3.3154863586471836e-08,1.8003561290734526e-08,-4.790466414712039e-10,6.185983920659055e-07,0.0566387218715637
FNO,10,1.2364538695178538e-15,3.516324600371607e-08,1.9255946254830597e-08,-1.4222604969598702e-10,6.599262860618182e-07,0.05718743571556068
FNO,11,1.3648684881615921e-15,3.6944126571913864e-08,2.037147598676495e-08,-4.820075201037677e-12,6.978295914450428e-07,0.057347245776220676
FNO,12,1.4862537168036995e-15,3.855196125755082e-08,2.138040058582682e-08,-9.652176872473911e-11,7.26958091945562e-07,0.05732191907572544
FNO,13,1.6024519848106076e-15,4.0030638076485963e-08,2.2297821383301796e-08,-2.371392966865432e-10,7.531572236985085e-07,0.057233372570242774
FNO,14,1.7139772746541898e-15,4.1400208630563566e-08,2.3142110922716762e-08,-2.1300602548435638e-10,7.792230007908074e-07,0.05713137421368282
FNO,15,1.815302804920706e-15,4.260637047344805e-08,2.39012076078485e-08,1.2659483324281395e-11,7.995978421604377e-07,0.05694988650727924
FNO,16,1.911233337670817e-15,4.371765475949982e-08,2.462283306378309e-08,1.7338701085984608e-10,8.121809287331416e-07,0.05678287650457726
FNO,17,1.9971086414519924e-15,4.468902148684834e-08,2.5253020049044426e-08,1.5310169589578777e-10,8.270583293779055e-07,0.05656620768770231
FNO,18,2.0897578539300035e-15,4.571386938260645e-08,2.5882047056914183e-08,5.317880611197705e-10,8.255879038188141e-07,0.05653256109349787
FNO,19,2.2140335145661284e-15,4.705351755784182e-08,2.6693866242673402e-08,-6.722254385794901e-10,8.318820619024336e-07,0.0569795746449272
UNET,0,3.9378535744807805e-16,1.984402573693347e-08,5.0478678736157e-09,1.0459522904951147e-09,6.794814453314757e-07,0.03865558867276905
UNET,1,3.79970438144933e-16,1.9492830429286892e-08,8.391795493715705e-09,5.632172744446309e-10,4.843607257498661e-07,0.04004483830021123
UNET,2,6.740831330506833e-16,2.5963111004860018e-08,1.331376946038263e-08,-9.950645648093562e-10,3.883471890731016e-07,0.0546777822052656
UNET,3,1.1384653725303074e-15,3.3741152507439743e-08,1.8690946046901933e-08,-2.5734607503315985e-10,4.636567609850317e-07,0.07118558172857196
UNET,4,1.717677800913826e-15,4.144487665458574e-08,2.4164759947441594e-08,1.650825043254598e-09,5.177938646738767e-07,0.08601756059425457
UNET,5,2.451475377848466e-15,4.951237600689818e-08,2.9770822044085764e-08,1.1605485156571528e-09,5.819483703817241e-07,0.0998863646886921
UNET,6,3.194064502926235e-15,5.651605526685523e-08,3.503847792698701e-08,4.075239232259258e-09,6.085399490984855e-07,0.11020007570425776
UNET,7,4.070686727953479e-15,6.380193357535082e-08,4.0339660558080475e-08,4.55661593240776e-09,6.436868034143117e-07,0.11976750282529541
UNET,8,5.01129788691373e-15,7.079052116571632e-08,4.564048516238632e-08,7.228497414616954e-09,6.619851546929567e-07,0.12703805335657806
UNET,9,5.851871887575399e-15,7.649752863704421e-08,5.020548214114788e-08,8.564342879948917e-09,6.937347052371479e-07,0.13068134746008736
UNET,10,6.75256989670461e-15,8.217402203071607e-08,5.4602270824843346e-08,1.0636552686221687e-08,7.506949941671337e-07,0.1336429976309358
UNET,11,7.509089051133878e-15,8.665500015079267e-08,5.827551335267691e-08,1.0984192287184563e-08,7.956565468703047e-07,0.1345119252369567
UNET,12,8.37838689988932e-15,9.153352882899971e-08,6.20621395739676e-08,1.2029618550695491e-08,8.563176834286423e-07,0.1360988484398791
UNET,13,9.040988698757627e-15,9.508411380855177e-08,6.512256123633114e-08,1.3788322829760224e-08,8.790943866188172e-07,0.13594548507366497
UNET,14,9.819618569251775e-15,9.90939885626357e-08,6.827461903676515e-08,1.4279230077606527e-08,9.196362498187227e-07,0.1367475172267333
UNET,15,1.0298357552283126e-14,1.0148082356920013e-07,7.044059819807135e-08,1.453683872820453e-08,9.26387883737334e-07,0.1356445367373595
UNET,16,1.0793502762582612e-14,1.0389178390316826e-07,7.239889948238678e-08,1.278701999963251e-08,9.58518967308919e-07,0.13494032028174888
UNET,17,1.1143345492489084e-14,1.0556204570056931e-07,7.387588972784268e-08,1.270985306070713e-08,9.65205344982678e-07,0.13361770748984553
UNET,18,1.1671098916925634e-14,1.0803286035704893e-07,7.574217334418788e-08,1.0552236317703899e-08,1.0433921033836668e-06,0.1336000290661015
UNET,19,1.20384717260089e-14,1.097199695862558e-07,7.69650427622841e-08,1.1179947974764951e-08,1.180453409688198e-06,0.1328656712942663
FNO-UNET,0,-3.757376980032901e-16,-1.5595772043380325e-08,-3.1014291645854498e-09,-6.434700251082792e-11,-5.785765324617387e-07,-0.030380113245929617
FNO-UNET,1,-3.2834843885856786e-16,-1.2307985317082653e-08,-4.949291600877146e-09,-1.2165248020583357e-09,-3.3092049989136285e-07,-0.025284746800210048
FNO-UNET,2,-5.403195250437772e-16,-1.4397489188160923e-08,-7.616923046017722e-09,6.765299134425606e-10,-1.8847151750378544e-07,-0.030320818563906664
FNO-UNET,3,-8.90559440284911e-16,-1.7996123696878726e-08,-1.0764045510678815e-08,1.871826762031678e-11,-1.8895764242188307e-07,-0.03796742076131462
FNO-UNET,4,-1.3402844450192507e-15,-2.201826202684951e-08,-1.421570222980021e-08,-1.894055778658863e-09,-1.6904039057408227e-07,-0.04569822233661158
FNO-UNET,5,-1.9384020519047186e-15,-2.6861254049172827e-08,-1.8011827061161467e-08,-1.5904199250473476e-09,-1.616748477317742e-07,-0.05418994672316818
FNO-UNET,6,-2.537890897431726e-15,-3.0900169463422455e-08,-2.1595430967673144e-08,-4.537714841746804e-09,-1.3951364508102415e-07,-0.060251923069736674
FNO-UNET,7,-3.2667812768064275e-15,-3.544870710732691e-08,-2.5270806649819645e-08,-5.043565542228564e-09,-1.215089469042141e-07,-0.06654348686181646
FNO-UNET,8,-4.0576736673371405e-15,-3.990971451212337e-08,-2.9034427148023184e-08,-7.77230736214819e-09,-8.599215561844176e-08,-0.07162049887679511
FNO-UNET,9,-4.7526269081378424e-15,-4.3342665050572376e-08,-3.220192085041336e-08,-9.04338952142012e-09,-7.513631317124236e-08,-0.07404262558852366
FNO-UNET,10,-5.5161160271867565e-15,-4.7010776027e-08,-3.534632457001275e-08,-1.0778778735917673e-08,-9.076870810531545e-08,-0.07645556191537511
FNO-UNET,11,-6.144220562972286e-15,-4.971087357887881e-08,-3.790403736591196e-08,-1.09890123623856e-08,-9.782695542526199e-08,-0.07716467946073603
FNO-UNET,12,-6.8921331830856204e-15,-5.298156757144889e-08,-4.068173898814077e-08,-1.212614031942023e-08,-1.293595914830803e-07,-0.07877692936415366
FNO-UNET,13,-7.438536713947019e-15,-5.5053475732065806e-08,-4.2824739853029346e-08,-1.4025462126446767e-08,-1.2593716292030877e-07,-0.0787121125034222
FNO-UNET,14,-8.105641294597586e-15,-5.7693779932072136e-08,-4.513250811404839e-08,-1.4492236103090884e-08,-1.404132490279153e-07,-0.07961614301305049
FNO-UNET,15,-8.48305474736242e-15,-5.887445309575208e-08,-4.6539390590222844e-08,-1.452417924488025e-08,-1.2679004157689633e-07,-0.07869465023008025
FNO-UNET,16,-8.882269424911794e-15,-6.017412914366845e-08,-4.777606641860369e-08,-1.2613632988772664e-08,-1.4633803857577732e-07,-0.07815744377717163
FNO-UNET,17,-9.146236851037092e-15,-6.087302421372097e-08,-4.8622869678798254e-08,-1.2556751364811343e-08,-1.381470156047726e-07,-0.07705149980214321
FNO-UNET,18,-9.58134106299563e-15,-6.231899097444249e-08,-4.986012628727369e-08,-1.0020448256584127e-08,-2.1780419956485275e-07,-0.07706746797260362
FNO-UNET,19,-9.82443821144277e-15,-6.266645202841398e-08,-5.0271176519610704e-08,-1.1852173413344441e-08,-3.485713477857644e-07,-0.0758860966493391
