scope,time,fno_abs_error_lt_unet_rate,unet_abs_error_lt_fno_rate,tie_rate
global,all,0.7868288990645903,0.213169222930602,1.8780048076923078e-06
time_0,0,0.6974060670986622,0.30258576766304346,8.165238294314381e-06
time_1,1,0.7614819580894648,0.23851150971989968,6.532190635451505e-06
time_2,2,0.7625777330685619,0.23741900083612041,3.2660953177257525e-06
time_3,3,0.7663386418269231,0.23365482598244147,6.532190635451505e-06
time_4,4,0.7686673677884616,0.23132936611622074,3.2660953177257525e-06
time_5,5,0.777974106396321,0.22202426055602006,1.6330476588628762e-06
time_6,6,0.7840996681647158,0.2159003318352843,0.0
time_7,7,0.7884925663670569,0.21150743363294314,0.0
time_8,8,0.7903999660326086,0.20959513482441472,4.899142976588629e-06
time_9,9,0.7933133230560201,0.20668667694397994,0.0
time_10,10,0.7956698108277592,0.2043301891722408,0.0
time_11,11,0.7983104488921404,0.20168955110785952,0.0
time_12,12,0.8004840353260869,0.19951433162625418,1.6330476588628762e-06
time_13,13,0.8020827889841137,0.19791721101588627,0.0
time_14,14,0.8049994121028428,0.19500058789715718,0.0
time_15,15,0.8066553224289298,0.19334467757107024,0.0
time_16,16,0.8066602215719063,0.19333977842809363,0.0
time_17,17,0.8077608956939799,0.19223747125836121,1.6330476588628762e-06
time_18,18,0.8113976928302675,0.18860230716973245,0.0
time_19,19,0.8118059547449833,0.18819404525501673,0.0
