ground_truth,prediction,absolute_error,relative_error
9.853816e-17,2.154262e-14,2.144408e-14,2.176000e+02
3.399440e-13,2.545473e-12,2.205529e-12,6.487917e+00
1.356562e-11,5.896362e-11,4.539800e-11,3.346548e+00
1.248769e-10,3.036773e-10,1.788004e-10,1.431813e+00
5.798901e-10,9.251137e-10,3.452236e-10,5.953258e-01
1.827904e-09,2.403215e-09,5.753111e-10,3.147382e-01
4.506121e-09,5.561752e-09,1.055631e-09,2.342659e-01
9.389324e-09,1.059916e-08,1.209835e-09,1.288522e-01
1.732985e-08,1.579838e-08,1.531465e-09,8.837149e-02
2.920274e-08,2.037248e-08,8.830259e-09,3.023778e-01
4.586228e-08,2.692556e-08,1.893672e-08,4.129039e-01
6.811091e-08,3.922032e-08,2.889059e-08,4.241698e-01
9.667695e-08,6.253779e-08,3.413916e-08,3.531261e-01
1.321973e-07,1.077499e-07,2.444739e-08,1.849311e-01
1.752048e-07,1.907107e-07,1.550588e-08,8.850143e-02
2.261211e-07,3.048445e-07,7.872345e-08,3.481473e-01
2.852583e-07,3.843875e-07,9.912918e-08,3.475067e-01
3.528241e-07,3.805773e-07,2.775317e-08,7.866008e-02
4.289336e-07,3.601198e-07,6.881373e-08,1.604298e-01
5.136193e-07,3.949806e-07,1.186388e-07,2.309858e-01
1.140205e-09,4.421482e-11,1.095990e-09,9.612220e-01
4.646140e-08,3.826182e-09,4.263522e-08,9.176482e-01
2.429472e-07,3.567417e-08,2.072730e-07,8.531609e-01
6.760279e-07,8.953208e-08,5.864958e-07,8.675616e-01
1.394167e-06,1.467589e-07,1.247408e-06,8.947336e-01
2.419003e-06,2.153657e-07,2.203637e-06,9.109692e-01
3.754974e-06,3.155743e-07,3.439399e-06,9.159583e-01
5.396147e-06,4.642189e-07,4.931928e-06,9.139722e-01
7.330744e-06,6.652322e-07,6.665512e-06,9.092545e-01
9.544025e-06,9.445500e-07,8.599474e-06,9.010323e-01
1.201900e-05,1.351175e-06,1.066783e-05,8.875802e-01
