member_id,split,original_idx,split_idx
all,test,93,0
all,test,2687,1
all,test,2381,2
all,test,2163,3
all,test,1776,4
all,test,2516,5
all,test,2589,6
all,test,535,7
all,test,900,8
all,test,2273,9
all,test,1272,10
all,test,527,11
all,test,680,12
all,test,471,13
all,test,2110,14
all,test,844,15
all,test,1929,16
all,test,1025,17
all,test,2793,18
all,test,2212,19
all,test,63,20
all,test,479,21
all,test,1767,22
all,test,811,23
all,test,2848,24
all,test,1295,25
all,test,322,26
all,test,1915,27
all,test,1241,28
all,test,605,29
all,test,1010,30
all,test,1351,31
all,test,102,32
all,test,1798,33
all,test,1068,34
all,test,2804,35
all,test,1789,36
all,test,1825,37
all,test,718,38
all,test,1344,39
all,test,1977,40
all,test,144,41
all,test,2346,42
all,test,291,43
all,test,2058,44
all,test,2398,45
all,test,1497,46
all,test,2319,47
all,test,2605,48
all,test,1278,49
all,test,2921,50
all,test,2766,51
all,test,2579,52
all,test,1730,53
all,test,486,54
all,test,511,55
all,test,2121,56
all,test,52,57
all,test,965,58
all,test,1874,59
all,test,929,60
all,test,1553,61
all,test,2412,62
all,test,45,63
all,test,1381,64
all,test,532,65
all,test,1097,66
all,test,2603,67
all,test,651,68
all,test,2541,69
all,test,2431,70
all,test,1188,71
all,test,1711,72
all,test,0,73
all,test,598,74
all,test,289,75
all,test,1641,76
all,test,807,77
all,test,2457,78
all,test,812,79
all,test,2549,80
all,test,2459,81
all,test,831,82
all,test,1502,83
all,test,1957,84
all,test,196,85
all,test,2222,86
all,test,2040,87
all,test,2763,88
all,test,2839,89
all,test,1933,90
all,test,194,91
all,test,2563,92
all,test,256,93
all,test,1732,94
all,test,1937,95
all,test,331,96
all,test,2764,97
all,test,2632,98
all,test,2654,99
all,test,612,100
all,test,746,101
all,test,457,102
all,test,1897,103
all,test,1912,104
all,test,736,105
all,test,2127,106
all,test,410,107
all,test,51,108
all,test,2441,109
all,test,2323,110
all,test,764,111
all,test,1505,112
all,test,700,113
all,test,1422,114
all,test,2823,115
all,test,1624,116
all,test,2936,117
all,test,1763,118
all,test,1237,119
all,test,1894,120
all,test,2303,121
all,test,1116,122
all,test,2377,123
all,test,1410,124
all,test,2329,125
all,test,1345,126
all,test,1720,127
all,test,1337,128
all,test,2406,129
all,test,691,130
all,test,554,131
all,test,203,132
all,test,1990,133
all,test,2295,134
all,test,67,135
all,test,1726,136
all,test,2010,137
all,test,817,138
all,test,1565,139
all,test,2945,140
all,test,433,141
all,test,1578,142
all,test,1206,143
all,test,2446,144
all,test,1762,145
all,test,2618,146
all,test,1089,147
all,test,650,148
all,test,1716,149
all,test,124,150
all,test,324,151
all,test,296,152
all,test,192,153
all,test,246,154
all,test,1091,155
all,test,1662,156
all,test,670,157
all,test,432,158
all,test,1995,159
all,test,2588,160
all,test,785,161
all,test,1966,162
all,test,594,163
all,test,2405,164
all,test,2606,165
all,test,790,166
all,test,178,167
all,test,1286,168
all,test,1741,169
all,test,543,170
all,test,1106,171
all,test,1681,172
all,test,174,173
all,test,1554,174
all,test,1833,175
all,test,80,176
all,test,32,177
all,test,1601,178
all,test,2748,179
all,test,999,180
all,test,1207,181
all,test,2073,182
all,test,759,183
all,test,727,184
all,test,528,185
all,test,211,186
all,test,1764,187
all,test,88,188
all,test,1842,189
all,test,1800,190
all,test,1637,191
all,test,2664,192
all,test,544,193
all,test,1672,194
all,test,2254,195
all,test,485,196
all,test,443,197
all,test,781,198
all,test,1896,199
all,test,2944,200
all,test,141,201
all,test,460,202
all,test,2639,203
all,test,354,204
all,test,1442,205
all,test,2533,206
all,test,1273,207
all,test,175,208
all,test,2242,209
all,test,2136,210
all,test,2779,211
all,test,1378,212
all,test,2188,213
all,test,1835,214
all,test,2749,215
all,test,506,216
all,test,1465,217
all,test,1196,218
all,test,1607,219
all,test,177,220
all,test,940,221
all,test,1362,222
all,test,184,223
all,test,2909,224
all,test,2093,225
all,test,765,226
all,test,2425,227
all,test,2547,228
all,test,1090,229
all,test,44,230
all,test,1321,231
all,test,420,232
all,test,2357,233
all,test,2718,234
all,test,507,235
all,test,251,236
all,test,2469,237
all,test,787,238
all,test,840,239
all,test,2712,240
all,test,644,241
all,test,567,242
all,test,2144,243
all,test,2271,244
all,test,2755,245
all,test,162,246
all,test,2227,247
all,test,2413,248
all,test,2876,249
all,test,1455,250
all,test,2154,251
all,test,2833,252
all,test,1770,253
all,test,2659,254
all,test,1450,255
all,test,2704,256
all,test,321,257
all,test,1809,258
all,test,30,259
all,test,1437,260
all,test,2807,261
all,test,463,262
all,test,1812,263
all,test,1127,264
all,test,1435,265
all,test,601,266
all,test,1366,267
all,test,298,268
all,test,676,269
all,test,1902,270
all,test,2430,271
all,test,2527,272
all,test,73,273
all,test,869,274
all,test,1675,275
all,test,1950,276
all,test,2196,277
all,test,990,278
all,test,408,279
all,test,964,280
all,test,332,281
all,test,1736,282
all,test,2223,283
all,test,1423,284
all,test,565,285
all,test,879,286
all,test,1590,287
all,test,1525,288
all,test,1596,289
all,test,368,290
all,test,1674,291
all,test,2670,292
all,test,1656,293
all,test,962,294
all,test,1609,295
all,test,239,296
all,test,2623,297
all,test,1271,298
0,train,209,0
0,train,1234,1
0,train,524,2
0,train,1194,3
0,train,2113,4
0,train,2155,5
0,train,1604,6
0,train,2851,7
0,train,2625,8
0,train,1562,9
0,train,1353,10
0,train,125,11
0,train,1723,12
0,train,210,13
0,train,2247,14
0,train,1215,15
0,train,2012,16
0,train,867,17
0,train,242,18
0,train,2774,19
0,train,2640,20
0,train,2495,21
0,train,1597,22
0,train,148,23
0,train,412,24
