x,Total UO2++ [M]
0,1.1184735101656222e-16
1,1.1206736823013164e-16
2,1.1250673685339911e-16
3,1.1316407820197782e-16
4,1.1403720887729277e-16
5,1.151230087098132e-16
6,1.16417255117351e-16
7,1.1791443246228667e-16
8,1.1960752595353893e-16
9,1.214878123343162e-16
10,1.2354465832157332e-16
11,1.257653397986509e-16
12,1.2813489387178014e-16
13,1.3063601544592304e-16
14,1.3324900888113277e-16
15,1.3595180371301444e-16
16,1.38720041413958e-16
17,1.4152723778562122e-16
18,1.4434502288289908e-16
19,1.4714345746755189e-16
20,1.49891421983921e-16
21,1.525570710567399e-16
22,1.5510834365779633e-16
23,1.5751351649907682e-16
24,1.5974178600375424e-16
25,1.6176386249307578e-16
26,1.6355255909613754e-16
27,1.6508335740808203e-16
28,1.663349321308826e-16
29,1.6728961783781837e-16
30,1.6793380279683771e-16
31,1.6825823589310635e-16
32,1.6825823789138488e-16
33,1.6793380878879162e-16
34,1.6728962768907908e-16
35,1.663349455321205e-16
36,1.6508337418191872e-16
37,1.635525790072298e-16
38,1.617638852594475e-16
39,1.5974181130608533e-16
40,1.5751354398931915e-16
41,1.5510837296691431e-16
42,1.5255710180150226e-16
43,1.4989145377331726e-16
44,1.4714348990915697e-16
45,1.4434505562876986e-16
46,1.4152727063099056e-16
47,1.3872007403250662e-16
48,1.3595183582918147e-16
49,1.3324904025566977e-16
50,1.3063604587941034e-16
51,1.2813492320712303e-16
52,1.2576536792210248e-16
53,1.2354468516249209e-16
54,1.2148783786402677e-16
55,1.1960755018331228e-16
56,1.1791445544611624e-16
57,1.1641727696458637e-16
58,1.1512302945599006e-16
59,1.1403722867417896e-16
60,1.1316409721650582e-16
61,1.1250675526663562e-16
62,1.1206738623470524e-16
63,1.1184736881261802e-16
64,1.1421351063511674e-16
65,1.1447770043528345e-16
66,1.150052814306288e-16
67,1.1579459981388882e-16
68,1.1684303615397323e-16
69,1.1814684662294219e-16
70,1.1970096385913252e-16
71,1.2149876779863488e-16
72,1.2353183805572147e-16
73,1.2578970227613195e-16
74,1.2825959403255226e-16
75,1.3092623559929218e-16
76,1.337716602509066e-16
77,1.3677508806199338e-16
78,1.3991286788370406e-16
79,1.431584962764387e-16
80,1.464827217686582e-16
81,1.4985373994684784e-16
82,1.5323748165185544e-16
83,1.5659799307365241e-16
84,1.5989790292773885e-16
85,1.6309896830454187e-16
86,1.661626873580492e-16
87,1.6905096389134492e-16
88,1.7172680624825072e-16
89,1.7415504086358574e-16
90,1.763030194665438e-16
91,1.7814129835549245e-16
92,1.7964426841321444e-16
93,1.807907156050657e-16
94,1.8156429388399402e-16
95,1.819538938371569e-16
96,1.8195389626155917e-16
97,1.8156430115526816e-16
98,1.807907275513631e-16
99,1.7964428468906322e-16
100,1.7814131874581364e-16
101,1.7630304367950647e-16
102,1.7415506855380184e-16
103,1.7172683702632663e-16
104,1.6905099733430844e-16
105,1.6616272301859529e-16
106,1.6309900571849248e-16
107,1.5989794162150655e-16
108,1.5659803256561775e-16
109,1.532375214994811e-16
110,1.4985377990727122e-16
111,1.4648276144953752e-16
112,1.431585353441641e-16
113,1.399129060467553e-16
114,1.3677512507728442e-16
115,1.3377169592729019e-16
116,1.3092626979859217e-16
117,1.2825962666905948e-16
118,1.257897333152378e-16
119,1.2353186751136491e-16
120,1.2149879573611808e-16
121,1.1970099039435026e-16
122,1.1814687182395055e-16
123,1.1684306020659028e-16
124,1.1579462291796132e-16
125,1.1500530380471106e-16
126,1.14477722313068e-16
127,1.1421353226040854e-16
128,1.1934650194902678e-16
129,1.1970655458915067e-16
130,1.2042557315171524e-16
131,1.215013069307509e-16
132,1.2293019045239198e-16
133,1.247071267001426e-16
134,1.2682521527238258e-16
135,1.2927543953416354e-16
136,1.3204632902159948e-16
137,1.3512361572677226e-16
138,1.3848990414732261e-16
139,1.4212437497884995e-16
140,1.4600254283551444e-16
141,1.5009608695789232e-16
142,1.5437277216993244e-16
143,1.5879647476447185e-16
144,1.6332732471272442e-16
145,1.6792197168966375e-16
146,1.7253397800849083e-16
147,1.771143368108636e-16
148,1.816121089430683e-16
149,1.8597516705468977e-16
150,1.901510307882469e-16
151,1.9408777269248085e-16
152,1.977349708828824e-16
153,2.0104468166853349e-16
154,2.0397240351561624e-16
155,2.0647800293478374e-16
156,2.0852657321949317e-16
157,2.1008919842659407e-16
158,2.1114359795998165e-16
159,2.1167462905188161e-16
160,2.11674632406079e-16
161,2.1114360802195806e-16
162,2.1008921497427901e-16
163,2.0852659578743896e-16
164,2.064780312264153e-16
165,2.0397243712446498e-16
166,2.0104472011236044e-16
167,1.97735013619218e-16
168,1.9408781913492267e-16
169,1.9015108031958293e-16
170,1.859752190344404e-16
171,1.8161216271221045e-16
172,1.7711439168809475e-16
173,1.7253403336302167e-16
174,1.6792202718410706e-16
175,1.6332737981603363e-16
176,1.587965290142187e-16
177,1.543728251583869e-16
178,1.5009613834604668e-16
179,1.4600259235803524e-16
180,1.4212442244445847e-16
181,1.3848994943750235e-16
182,1.3512365879381824e-16
183,1.3204636988711978e-16
184,1.2927547829697824e-16
185,1.2682525203366956e-16
186,1.2470716162745153e-16
187,1.2293022379631106e-16
188,1.215013389623543e-16
189,1.2042560417156854e-16
190,1.197065849206157e-16
191,1.1934653193007242e-16
192,1.2813823459158802e-16
193,1.286625793940332e-16
194,1.2970968869903825e-16
195,1.3127628919264377e-16
196,1.3335719456999466e-16
197,1.3594498932816894e-16
198,1.3902963233641483e-16
199,1.4259800020460296e-16
200,1.4663339635948375e-16
201,1.5111504844656335e-16
202,1.5601762855558572e-16
203,1.6131082113838651e-16
204,1.669589700239021e-16
205,1.7292083180080998e-16
206,1.791494606739148e-16
207,1.8559224617449594e-16
208,1.9219112031386985e-16
209,1.9888294508898487e-16
210,2.0560008484375977e-16
211,2.1227116107939683e-16
212,2.1882198014571985e-16
213,2.2517661711748407e-16
214,2.3125863236004117e-16
215,2.369923911176895e-16
216,2.423044511990615e-16
217,2.471249797466196e-16
218,2.5138915738341916e-16
219,2.550385268992669e-16
220,2.5802224412939357e-16
221,2.6029819080620395e-16
222,2.6183391348700215e-16
223,2.626073555039743e-16
224,2.626073604631435e-16
225,2.618339283685897e-16
226,2.602982153072345e-16
227,2.5802227758065164e-16
228,2.550385688620785e-16
229,2.5138920725176887e-16
230,2.471250367994012e-16
231,2.4230451462674217e-16
232,2.369924600511927e-16
233,2.312587058922098e-16
234,2.251766943095808e-16
235,2.1882206002264622e-16
236,2.1227124260385262e-16
237,2.0560016701711196e-16
238,1.9888302744741028e-16
239,1.9219120210282015e-16
240,1.8559232669782201e-16
241,1.7914953931588836e-16
242,1.7292090805574434e-16
243,1.6695904349929663e-16
244,1.6131089155197964e-16
245,1.5601769573194922e-16
246,1.5111511231422715e-16
247,1.4663345696216412e-16
248,1.4259805773299665e-16
249,1.39029686714565e-16
250,1.359450410747483e-16
251,1.3335724398316477e-16
252,1.3127633666109428e-16
253,1.2970973466642643e-16
254,1.2866262433984513e-16
255,1.2813827901720145e-16
256,1.42109349447733e-16
257,1.428949738968765e-16
258,1.4446385789630169e-16
259,1.468111025737222e-16
260,1.499289450490879e-16
261,1.5380628408057799e-16
262,1.5842808543905845e-16
263,1.637746975988965e-16
264,1.6982111438294525e-16
265,1.7653622277321583e-16
266,1.8388208308625047e-16
267,1.9181328109352676e-16
268,2.0027639890118862e-16
269,2.0920964509306475e-16
270,2.1854268189336205e-16
271,2.281966813939925e-16
272,2.38084635720661e-16
273,2.481119375056489e-16
274,2.5817723743615975e-16
275,2.681735752883632e-16
276,2.779897701192837e-16
277,2.875120446007712e-16
278,2.9662584828308083e-16
279,3.0521783532338056e-16
280,3.1317794432798366e-16
281,3.2040152182058404e-16
282,3.267914268015541e-16
283,3.32260052210956e-16
284,3.367311998215727e-16
285,3.401417482504977e-16
286,3.424430602791857e-16
287,3.436020800103778e-16
288,3.436020875398631e-16
289,3.424430828865352e-16
290,3.4014178551761815e-16
291,3.3673125076989716e-16
292,3.322601161700863e-16
293,3.2679150283805747e-16
294,3.2040160882287664e-16
295,3.131780410496901e-16
296,3.052179404388751e-16
297,2.9662596042829673e-16
298,2.8751216237627187e-16
299,2.779898920676013e-16
300,2.6817369979329083e-16
301,2.5817736270197814e-16
302,2.481120630455255e-16
303,2.3808476045996527e-16
304,2.2819680420842997e-16
305,2.1854280181608472e-16
306,2.0920976135330288e-16
307,2.0027651090652393e-16
308,1.9181338841784165e-16
309,1.8388218546264598e-16
310,1.765363200860688e-16
311,1.6982120667163451e-16
312,1.637747852121476e-16
313,1.5842816842266838e-16
314,1.5380636293206887e-16
315,1.4992902030853324e-16
316,1.4681117485806437e-16
317,1.4446392788883173e-16
318,1.4289504233077797e-16
319,1.421094170881698e-16
320,1.6364312156964147e-16
321,1.6483181530122821e-16
322,1.6720562835550788e-16
323,1.7075715596368383e-16
324,1.7547466326138127e-16
325,1.8134136707505008e-16
326,1.8833453567377684e-16
327,1.9642445282537875e-16
328,2.0557330140294492e-16
329,2.1573402473818946e-16
330,2.268492364316387e-16
331,2.388502394843539e-16
332,2.516562245675963e-16
333,2.651737093955226e-16
334,2.792962761987917e-16
335,2.939046558712874e-16
336,3.0886719650497325e-16
337,3.2404074114646787e-16
338,3.392719250707233e-16
339,3.5439888717166273e-16
340,3.692533738026782e-16
341,3.8366319720491994e-16
342,3.974549952176615e-16
343,4.104572249527169e-16
344,4.225033111737823e-16
345,4.3343486081207914e-16
346,4.431048488468952e-16
347,4.513806784819774e-16
348,4.581470195208385e-16
349,4.63308333513518e-16
350,4.667910042379101e-16
351,4.685449988697701e-16
352,4.685450103840645e-16
353,4.667910388459279e-16
354,4.633083906611686e-16
355,4.58147097787698e-16
356,4.513807768194518e-16
357,4.431049657943475e-16
358,4.3343499463748623e-16
359,4.225034599281862e-16
360,4.1045738658759603e-16
361,3.974551676738187e-16
362,3.8366337840139575e-16
363,3.692535616191584e-16
364,3.543990792376608e-16
365,3.392721173864221e-16
366,3.2404093404063634e-16
367,3.088673884384375e-16
368,2.9390484482122466e-16
369,2.792964606344199e-16
370,2.651738881545956e-16
371,2.5165639675964584e-16
372,2.3885040446362857e-16
373,2.2684939379223787e-16
374,2.1573417431068005e-16
375,2.055734432864794e-16
376,1.9642458748905542e-16
377,1.8833466320119812e-16
378,1.8134148821168645e-16
379,1.7547477885574835e-16
380,1.7075726697606722e-16
381,1.6720573584123011e-16
382,1.6483192038938165e-16
383,1.6364322543758802e-16
384,1.9634696456437755e-16
385,1.9814841601224826e-16
386,2.017459081956083e-16
387,2.071282318221941e-16
388,2.142776214818993e-16
389,2.2316866688383843e-16
390,2.337669480497272e-16
391,2.460274646186263e-16
392,2.598929428450102e-16
393,2.7529210876651845e-16
394,2.9213803386680763e-16
395,3.1032664661124733e-16
396,3.2973551499225263e-16
397,3.5022299443781685e-16
398,3.71627827603044e-16
399,3.937692698228918e-16
400,4.1644779753884114e-16
401,4.3944643745837257e-16
402,4.625327321324208e-16
403,4.854613338083626e-16
404,5.079771937181309e-16
405,5.298192893818933e-16
406,5.507248090686817e-16
407,5.704336913022534e-16
408,5.886933992211528e-16
409,6.052637954711614e-16
410,6.199219734478769e-16
411,6.324668981651055e-16
412,6.427237110301777e-16
413,6.505475593238359e-16
414,6.558268270255094e-16
415,6.584856548629534e-16
416,6.584856724356875e-16
417,6.558268799530789e-16
418,6.505476469555208e-16
419,6.427238313681168e-16
420,6.324670495005349e-16
421,6.199221534753773e-16
422,6.0526400150126745e-16
423,5.886936281665732e-16
424,5.704339399640963e-16
425,5.507250743570339e-16
426,5.298195681983426e-16
427,5.079774830864355e-16
428,4.854616314058566e-16
429,4.625330265740418e-16
430,4.394467336583227e-16
431,4.164480932159155e-16
432,3.9376956070951724e-16
433,3.716281114192723e-16
434,3.5022326944943435e-16
435,3.2973577987193817e-16
436,3.1032690037713805e-16
437,2.921382758951337e-16
438,2.7529233879489615e-16
439,2.598931610213797e-16
440,2.4602767160943156e-16
441,2.337671440541448e-16
442,2.2316885305247247e-16
443,2.142777991234029e-16
444,2.0712840241437195e-16
445,2.0174607336161653e-16
