x,Total UO2++ [M]
0,1.2106389892935522e-16
1,1.2261043042073244e-16
2,1.2568514077521885e-16
3,1.3024607057283612e-16
4,1.3621815717919158e-16
5,1.4348139164334553e-16
6,1.5185914909191586e-16
7,1.6110948732818086e-16
8,1.7092206561658209e-16
9,1.8092277225464834e-16
10,1.9068699553974975e-16
11,1.9976175790432459e-16
12,2.0769471281438377e-16
13,2.140673050620802e-16
14,2.1852863873082427e-16
15,2.2082562115843357e-16
16,2.2082565914406038e-16
17,2.1852868050383995e-16
18,2.1406731051357757e-16
19,2.0769471721947773e-16
20,1.9976176153556545e-16
21,1.9068697367310273e-16
22,1.8092274802756186e-16
23,1.7092208971776358e-16
24,1.6110951520326385e-16
25,1.518591535337523e-16
26,1.4348139409205722e-16
27,1.3621815889042477e-16
28,1.3024607168959354e-16
29,1.2568514142661877e-16
30,1.2261043075536028e-16
31,1.2106389916360278e-16
32,1.3576615370620305e-16
33,1.3839676020628916e-16
34,1.4362681735542402e-16
35,1.513850569215147e-16
36,1.6154391465566877e-16
37,1.7389935690944967e-16
38,1.8815101058283137e-16
39,2.0388735051660773e-16
40,2.2058045327163294e-16
41,2.3759386741280925e-16
42,2.5420520071684626e-16
43,2.696437709027306e-16
44,2.8313994865602715e-16
45,2.9398159013091724e-16
46,3.015716609928669e-16
47,3.054795311437616e-16
48,3.0547959309424686e-16
49,3.015717291386384e-16
50,2.9398159892074505e-16
51,2.8313995570367804e-16
52,2.696437766604985e-16
53,2.5420516479459982e-16
54,2.375938276875721e-16
55,2.2058049245335467e-16
56,2.0388739589307658e-16
57,1.8815101767034327e-16
58,1.7389936076242474e-16
59,1.6154391732729053e-16
60,1.513850586444041e-16
61,1.436268183370912e-16
62,1.3839676068385512e-16
63,1.3576615401511104e-16
64,1.7412192757495353e-16
65,1.7958382672820978e-16
66,1.9044307132965369e-16
67,2.065519307584942e-16
68,2.276458502032501e-16
69,2.533015132140771e-16
70,2.82895529269952e-16
71,3.155736178671066e-16
72,3.5023965863560315e-16
73,3.855719897786261e-16
74,4.2007031275756425e-16
75,4.521338743383995e-16
76,4.801639854550075e-16
77,5.026812959307049e-16
78,5.1844552367748e-16
79,5.265620511771323e-16
80,5.265621743783731e-16
81,5.184456589979879e-16
82,5.026813131552827e-16
