x,Total UO2++ [M]
0,1.1225038840386596e-16
1,1.123518435182122e-16
2,1.12554617601082e-16
3,1.1285843320747266e-16
4,1.1326286355040357e-16
5,1.1376731993715667e-16
6,1.1437103548880054e-16
7,1.1507304547895945e-16
8,1.1587216473494587e-16
9,1.1676696261807756e-16
10,1.1775573616556902e-16
11,1.188364820319715e-16
12,1.2000686791459985e-16
13,1.212642041819417e-16
14,1.2260541644710996e-16
15,1.2402701983963585e-16
16,1.2552509572615197e-16
17,1.2709527161600407e-16
18,1.287327049587259e-16
19,1.3043207149881874e-16
20,1.3218755879878223e-16
21,1.3399286547391054e-16
22,1.3584120660367544e-16
23,1.3772532569483566e-16
24,1.39637513472422e-16
25,1.4156963366688733e-16
26,1.435131558527384e-16
27,1.4545919527417548e-16
28,1.4739855947323214e-16
29,1.4932180141243164e-16
30,1.5121927866260849e-16
31,1.5308121810262987e-16
32,1.5489778544626701e-16
33,1.5665915876528533e-16
34,1.5835561039558295e-16
35,1.5997757610020247e-16
36,1.615157389687841e-16
37,1.629611181455385e-16
38,1.643051422927477e-16
39,1.6553972933190803e-16
40,1.66657361978488e-16
41,1.6765115920060917e-16
42,1.6851494265131533e-16
43,1.692432971203382e-16
44,1.6983162412425651e-16
45,1.7027618784688154e-16
46,1.7057415274884548e-16
47,1.7072361228649115e-16
48,1.7072360831079694e-16
49,1.7057414085737793e-16
50,1.7027616817386567e-16
51,1.6983159698048988e-16
52,1.69243263106084e-16
53,1.6851490276435568e-16
54,1.6765111483933018e-16
55,1.6665731461060622e-16
56,1.6553968487060956e-16
57,1.6430510571074042e-16
58,1.62961088261849e-16
59,1.615157154695386e-16
60,1.5997755847876922e-16
61,1.5835559959697804e-16
62,1.5665915197335288e-16
63,1.5489777851012559e-16
64,1.5308121112777862e-16
65,1.5121927140734258e-16
66,1.4932179358993776e-16
67,1.4739855085339745e-16
68,1.454591857099606e-16
69,1.4351314527969797e-16
70,1.4156962209198045e-16
71,1.3963750095840994e-16
72,1.3772531234337147e-16
73,1.3584119253915401e-16
74,1.3399285082947606e-16
75,1.3218754370540984e-16
76,1.3043205607799638e-16
77,1.2873268931884001e-16
78,1.2709525585208742e-16
79,1.2552507992224084e-16
80,1.2402700407249246e-16
81,1.2260540078923906e-16
82,1.21264188700988e-16
83,1.2000685266421506e-16
84,1.1883646702308837e-16
85,1.1775572129103893e-16
86,1.1676694886017828e-16
87,1.1587215294463623e-16
88,1.1507303500099358e-16
89,1.1437102612079098e-16
90,1.1376731149116177e-16
91,1.1326285584170785e-16
92,1.1285842605388872e-16
93,1.1255461082088097e-16
94,1.1235183692255296e-16
95,1.1225038174580949e-16
96,1.133764351627833e-16
97,1.1348726529948305e-16
98,1.1370877692943638e-16
99,1.1404066712954602e-16
100,1.1448246990641587e-16
101,1.1503354246189153e-16
102,1.1569304739625888e-16
103,1.164599312164417e-16
104,1.173328996340711e-16
105,1.1831039021875036e-16
106,1.193905430432393e-16
107,1.2057117001838496e-16
108,1.2184972366554702e-16
109,1.232232661125799e-16
110,1.246884391241444e-16
111,1.262414359893243e-16
112,1.2787797608657096e-16
113,1.295932829297605e-16
114,1.3138206646764145e-16
115,1.332385103635247e-16
116,1.3515626492208208e-16
117,1.3712844625709398e-16
118,1.391476422075449e-16
119,1.4120592541175754e-16
120,1.432948738408595e-16
121,1.454055989756061e-16
122,1.4752878168618277e-16
123,1.496547157453065e-16
124,1.5177335877253067e-16
125,1.5387439027511714e-16
126,1.5594727632072626e-16
127,1.5798134025296741e-16
128,1.5996583871990404e-16
129,1.6189004120371035e-16
130,1.6374332028505306e-16
131,1.6551522791054675e-16
132,1.6719558611589369e-16
133,1.6877458356049697e-16
134,1.7024285639394772e-16
135,1.7159157531013727e-16
136,1.728125280361836e-16
137,1.7389819738505037e-16
138,1.7484183382358868e-16
139,1.75637521509571e-16
140,1.7628023683382354e-16
141,1.7676589860531427e-16
142,1.7709140913544772e-16
143,1.7725468560960623e-16
144,1.7725468127782827e-16
145,1.770913961523602e-16
146,1.7676587704107745e-16
147,1.762802069154046e-16
148,1.7563748378062798e-16
149,1.748417893578303e-16
150,1.7389814800999275e-16
151,1.7281247534077484e-16
152,1.7159152592102197e-16
153,1.7024281641009892e-16
154,1.6877455155494804e-16
155,1.6719556135039901e-16
156,1.6551520948627e-16
157,1.6374330886326178e-16
158,1.6189003375951366e-16
159,1.599658312614359e-16
160,1.579813330845087e-16
161,1.5594726889086055e-16
162,1.5387438217548905e-16
163,1.517733497285407e-16
164,1.4965470559756085e-16
165,1.4752877037447656e-16
166,1.4540558652102794e-16
167,1.4329486032599726e-16
168,1.4120591096064607e-16
169,1.3914762696692306e-16
170,1.3712843038043489e-16
171,1.3515624855734436e-16
172,1.3323849364514655e-16
173,1.313820495129118e-16
174,1.295932658392167e-16
175,1.278779589477617e-16
176,1.2624141888266155e-16
177,1.2468842212896825e-16
178,1.2322324931112762e-16
179,1.2184970714363155e-16
180,1.2057115385953138e-16
181,1.1939052701605918e-16
182,1.183103756083326e-16
