channel,before_mean,before_std,before_min,before_max,before_median,after_mean,after_std,after_min,after_max,after_median
Perm,-1.493388e+01,2.285793e+00,-2.020189e+01,-9.928729e+00,-1.435594e+01,-4.056669e-07,1.000001e+00,-2.304671e+00,2.189682e+00,2.528430e-01
Calcite,3.709415e+00,9.727997e-01,0.000000e+00,5.602061e+00,3.799896e+00,1.319546e-07,1.000000e+00,-3.813131e+00,1.945564e+00,9.301053e-02
Clino,4.234251e+00,9.019762e-01,0.000000e+00,5.602061e+00,4.351289e+00,-2.715405e-07,1.000000e+00,-4.694407e+00,1.516464e+00,1.297631e-01
Pyrite,3.933550e+00,1.339106e+00,0.000000e+00,7.000000e+00,3.969198e+00,2.834933e-07,9.999996e-01,-2.937442e+00,2.289924e+00,2.662242e-02
Smectite,6.664883e-03,4.600830e-02,0.000000e+00,4.689452e-01,0.000000e+00,1.763786e-08,9.999380e-01,-1.448585e-01,1.004749e+01,-1.448585e-01
Material_Source,7.812500e-03,8.804240e-02,0.000000e+00,1.000000e+00,0.000000e+00,7.812500e-03,8.804240e-02,0.000000e+00,1.000000e+00,0.000000e+00
Material_Bentonite,2.343750e-02,1.512884e-01,0.000000e+00,1.000000e+00,0.000000e+00,2.343750e-02,1.512884e-01,0.000000e+00,1.000000e+00,0.000000e+00
Material_Fracture,9.687500e-01,1.739926e-01,0.000000e+00,1.000000e+00,1.000000e+00,9.687500e-01,1.739926e-01,0.000000e+00,1.000000e+00,1.000000e+00
Vx,9.643977e-03,5.329014e-02,-5.777714e-01,4.774190e+00,3.234825e-05,-1.451591e-08,9.999954e-01,-1.102295e+01,8.940752e+01,-1.803644e-01
Vy,2.855986e-05,3.051112e-02,-3.515949e+00,4.255557e+00,-8.448972e-13,9.421766e-10,9.999949e-01,-1.152355e+02,1.394741e+02,-9.360428e-04
Meta,5.002170e-01,2.884435e-01,2.954092e-04,9.998392e-01,5.003349e-01,-5.870239e-08,9.999991e-01,-1.733177e+00,1.732131e+00,4.045032e-04
