channel,before_mean,before_std,before_min,before_max,after_mean,after_std,after_min,after_max
Perm,-14.706345558166504,2.2834205627441406,-20.004858016967773,-10.322023391723633,0.10629379004240036,1.0016461610794067,-2.217954635620117,2.0295214653015137
Calcite,0.022830219939351082,0.05444688722491264,0.0,0.4000000059604645,0.05707554519176483,0.13611719012260437,0.0,0.9999997615814209
Clino,0.042828869074583054,0.05686318874359131,0.0,0.4000000059604645,0.10707215964794159,0.14215794205665588,0.0,0.9999997615814209
Pyrite,0.0004068502748850733,0.0013928711414337158,0.0,0.009999999776482582,0.04068462923169136,0.13928574323654175,0.0,0.9999900460243225
Smectite,0.007234605029225349,0.04857979714870453,0.0,0.4534863233566284,0.015427392907440662,0.10359372198581696,0.0,0.9670345187187195
MatSrc,0.96875,0.17399263381958008,0.0,1.0,0.96875,0.17399263381958008,0.0,1.0
MatBent,0.0234375,0.15128840506076813,0.0,1.0,0.0234375,0.15128840506076813,0.0,1.0
MatFrac,0.0078125,0.08804240077733994,0.0,1.0,0.0078125,0.08804240077733994,0.0,1.0
Vx,0.02323605865240097,0.12669767439365387,-0.14554908871650696,2.453906536102295,0.11375418305397034,0.021811585873365402,0.08469705283641815,0.5322052240371704
Vy,0.004358548671007156,0.06692313402891159,-1.1098606586456299,1.4897311925888062,0.5196569561958313,0.013028872199356556,0.3027361333370209,0.8088354468345642
Meta,0.537543535232544,0.30254077911376953,0.08450218290090561,0.9537743330001831,0.5374933481216431,0.3026788532733917,0.08424519747495651,0.9539139866828918
