channel,before_mean,before_std,before_min,before_max,before_median,after_mean,after_std,after_min,after_max,after_median
Perm,-1.493126e+01,2.280162e+00,-2.019868e+01,-1.005128e+01,-1.435722e+01,4.710395e-07,1.000000e+00,-2.310109e+00,2.140190e+00,2.517547e-01
Calcite,3.711922e+00,9.725372e-01,0.000000e+00,5.602061e+00,3.801548e+00,-1.058572e-07,1.000000e+00,-3.816745e+00,1.943508e+00,9.215167e-02
Clino,4.231129e+00,9.008141e-01,0.000000e+00,5.602061e+00,4.347618e+00,3.076131e-07,9.999999e-01,-4.697002e+00,1.521885e+00,1.293189e-01
Pyrite,3.928414e+00,1.338909e+00,0.000000e+00,7.000000e+00,3.960462e+00,4.198464e-08,9.999996e-01,-2.934036e+00,2.294101e+00,2.394035e-02
Smectite,6.666766e-03,4.599689e-02,0.000000e+00,4.687968e-01,0.000000e+00,-4.252455e-08,9.999964e-01,-1.449419e-01,1.004715e+01,-1.449419e-01
Material_Source,7.812500e-03,8.804240e-02,0.000000e+00,1.000000e+00,0.000000e+00,7.812500e-03,8.804240e-02,0.000000e+00,1.000000e+00,0.000000e+00
Material_Bentonite,2.343750e-02,1.512884e-01,0.000000e+00,1.000000e+00,0.000000e+00,2.343750e-02,1.512884e-01,0.000000e+00,1.000000e+00,0.000000e+00
Material_Fracture,9.687500e-01,1.739926e-01,0.000000e+00,1.000000e+00,1.000000e+00,9.687500e-01,1.739926e-01,0.000000e+00,1.000000e+00,1.000000e+00
Vx,9.097238e-03,5.148110e-02,-3.940818e-01,3.568092e+00,3.222826e-05,6.465561e-09,1.000005e+00,-7.831602e+00,6.913213e+01,-1.760845e-01
Vy,-5.620009e-05,2.831050e-02,-2.441492e+00,2.781482e+00,-3.753295e-11,2.988802e-10,9.999976e-01,-8.623750e+01,9.825075e+01,1.985122e-03
Meta,4.981612e-01,2.856050e-01,2.954092e-04,9.978523e-01,4.984303e-01,1.358523e-07,9.999992e-01,-1.743199e+00,1.749581e+00,9.377745e-04
